wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Steve_Martin,Tom Baker,Q16473,Q822930
/wiki/Bonnie_Hunt,Kate Baker,Q272952,Q822930
/wiki/Piper_Perabo,Nora Baker,Q228868,Q822930
/wiki/Tom_Welling,Charlie Baker,Q200261,Q822930
/wiki/Hilary_Duff,Lorraine Baker,Q122020,Q822930
"/wiki/Kevin_G._Schmidt"" class=""mw-redirect",Henry Baker,,Q822930
/wiki/Alyson_Stoner,Sarah Baker,Q229263,Q822930
/wiki/Jacob_Smith_(actor),Jake Baker,Q1353152,Q822930
/wiki/Forrest_Landis,Mark Baker,Q913763,Q822930
/wiki/Liliana_Mumy,Jessica Baker,Q446188,Q822930
/wiki/Morgan_York,Kim Baker,Q241591,Q822930
/wiki/Blake_Woodruff,Mike Baker,Q881307,Q822930
"/wiki/Brent_Kinsman"" class=""mw-redirect",Kyle Baker,,Q822930
"/wiki/Shane_Kinsman"" class=""mw-redirect",Nigel Baker,,Q822930
/wiki/Paula_Marshall,Tina and Bill Shenk,Q271040,Q822930
/wiki/Steven_Anthony_Lawrence,Dylan Shenk,Q3175841,Q822930
/wiki/Richard_Jenkins,Shake McGuire,Q313043,Q822930
/wiki/Tiffany_Dupont,Beth,Q543477,Q822930
/wiki/Cody_Linley,Quinn,Q313660,Q822930
/wiki/Jared_Padalecki,an unnamed bully (uncredited cameo),Q215757,Q822930
/wiki/Dax_Shepard,Camera Crew Member,Q462354,Q822930
/wiki/Regis_Philbin,himself,Q463673,Q822930
/wiki/Kelly_Ripa,herself,Q1148035,Q822930
/wiki/Frank_Welker,the voice of Gunner,Q296577,Q822930
/wiki/Wayne_Knight,Electrician (uncredited cameo),Q311976,Q822930
/wiki/Amy_Hill,Miss Hozzie,Q2469967,Q822930
