wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Guy_Pearce,Aidan McRory,Q223745,http://www.wikidata.org/entity/Q231998
/wiki/Freddie_Highmore,Raoul Normandin,Q296887,http://www.wikidata.org/entity/Q231998
/wiki/Jean-Claude_Dreyfus,Administrator Eugene Normandin,Q579505,http://www.wikidata.org/entity/Q231998
/wiki/Moussa_Maaskri,Saladin,Q3326214,http://www.wikidata.org/entity/Q231998
/wiki/Ma%C3%AF_Anh_Le,Naï-Rea,Q16731320,http://www.wikidata.org/entity/Q231998
/wiki/Philippine_Leroy-Beaulieu,Mrs. Mathilda Normandin,Q1215287,http://www.wikidata.org/entity/Q231998
