wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Tim_Balme,Lionel Cosgrove,Q1550880,Q897429
/wiki/Diana_Pe%C3%B1alver,Paquita María Sánchez,Q5805174,Q897429
"/wiki/Elizabeth_Moody_(actor)"" class=""mw-redirect","Vera Cosgrove
",,Q897429
/wiki/Ian_Watkin,Uncle Les,Q24091297,Q897429
/wiki/Stuart_Devenie,"Father McGruder
",Q7626466,Q897429
/wiki/Stephen_Papps,Zombie McGruder,Q7610191,Q897429
/wiki/Jed_Brophy,Void,Q925680,Q897429
/wiki/Harry_Sinclair,Roger,Q3330820,Q897429
/wiki/Davina_Whitehouse,Paquita's Grandmother,Q5241787,Q897429
/wiki/Bill_Ralston,Zoo official Stewart McAlden,Q4910585,Q897429
/wiki/Brian_Sergent,Vet,Q4965252,Q897429
/wiki/Forrest_J_Ackerman,Forry (Tourist at Zoo with Monsters of Filmland magazine),Q18227,Q897429
/wiki/Peter_Vere-Jones,the Undertaker,Q55275424,Q897429
