wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Gregory_Peck,Arch Deans,Q108366,http://www.wikidata.org/entity/Q82388
"/wiki/Desi_Arnaz,_Jr."" class=""mw-redirect",Billy Two Hats,,http://www.wikidata.org/entity/Q82388
/wiki/Jack_Warden,Sheriff Henry Gifford,Q373968,http://www.wikidata.org/entity/Q82388
/wiki/David_Huddleston,Copeland,Q659962,http://www.wikidata.org/entity/Q82388
/wiki/Sian_Barbara_Allen,Esther Spencer,Q7506780,http://www.wikidata.org/entity/Q82388
/wiki/John_Pearce_(actor),Spencer,Q6252369,http://www.wikidata.org/entity/Q82388
/wiki/Vic_Armstrong,Harry Sweets Bradley,Q431505,http://www.wikidata.org/entity/Q82388
