wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Danny_Glover,Lieutenant Mike Harrigan,Q192165,Q720357
/wiki/Kevin_Peter_Hall,City Hunter / The Predator,Q361587,Q720357
/wiki/Gary_Busey,Special Agent Peter Keyes,Q312081,Q720357
"/wiki/Ruben_Blades"" class=""mw-redirect",Detective Danny Archuleta,,Q720357
/wiki/Mar%C3%ADa_Conchita_Alonso,Detective Leona Cantrell,Q271145,Q720357
/wiki/Bill_Paxton,Detective Jerry Lambert,Q110374,Q720357
/wiki/Lilyan_Chauvin,Dr. Irene Edwards,Q451830,Q720357
/wiki/Robert_Davi,Deputy Chief Phil Heinemann.,Q443317,Q720357
/wiki/Adam_Baldwin,Agent Adam Garber,Q312161,Q720357
/wiki/Kent_McCord,Captain Brent Pilgrim,Q3195290,Q720357
/wiki/Steve_Kahan,Sergeant Neil Reeger,Q1166925,Q720357
/wiki/Henry_Kingi,'El Scorpio',Q3132879,Q720357
/wiki/Morton_Downey_Jr.,Tony Pope,Q2423759,Q720357
/wiki/Calvin_Lockhart,Willie 'King Willie',Q5024455,Q720357
/wiki/Sylvia_Kauders,Ruth Albright,Q24050432,Q720357
/wiki/Michael_Wiseman,Zinck,Q6835406,Q720357
/wiki/Teri_Weigel,Mary,Q441845,Q720357
/wiki/Thomas_Rosales_Jr.,El Scorpio Gang Member,Q1500595,Q720357
/wiki/Michael_Papajohn,A gang member in the subway.,Q948751,Q720357
/wiki/Casey_Sander,an OWLFP Member,Q2940994,Q720357
/wiki/Pat_Skipper,an OWLFP Member,Q7144028,Q720357
/wiki/Jim_Ishida,A Reporter,Q3178841,Q720357
