wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Niall_MacGinnis,Martin Luther,Q1520157,Q328096
/wiki/John_Ruddock,Vicar Johann von Staupitz,Q6255904,Q328096
/wiki/Peter_Faber_(actor),George Spalatin,Q82302,Q328096
/wiki/David_Horne_(actor),Elector Duke ,Q5235140,Q328096
"/wiki/Leonard_White_(actor)"" class=""mw-redirect",brother and emissary of Archbishop Albrecht of Mainz,,Q328096
/wiki/Annette_Carell,Katharina von Bora,Q26997329,Q328096
/wiki/Alexander_Gauge,Fr. John Tetzel,Q4718931,Q328096
/wiki/Irving_Pichel,Chancellor Brueck,Q1668336,Q328096
