wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Salman_Khan,Chulbul Pandey,Q9543,Q733065
/wiki/Sonakshi_Sinha,Rajjo Shreshawat,Q614907,Q733065
/wiki/Arbaaz_Khan,"Makkhanchand ""Makkhi"" Pandey",Q1203191,Q733065
/wiki/Vinod_Khanna,Prajapati Pandey,Q2038656,Q733065
/wiki/Dimple_Kapadia,Naini Devi,Q158558,Q733065
/wiki/Sonu_Sood,Chedi Singh,Q2573055,Q733065
/wiki/Mahesh_Manjrekar,Hariya Shreshawat,Q3089275,Q733065
/wiki/Om_Puri,Kasturilal Vishkarma,Q80309,Q733065
/wiki/Anupam_Kher,Dayal Babu,Q560163,Q733065
/wiki/Mahie_Gill,Nirmala,Q487198,Q733065
"/wiki/Tinu_Anand"" class=""mw-redirect",Masterji,,Q733065
"/wiki/Murli_Sharma"" class=""mw-redirect",ACP Malik,,Q733065
/wiki/Amitosh_Nagpal,Sumant Kumar,Q16929255,Q733065
/wiki/Malaika_Arora,"Munni in the item number ""Munni Badnaam Hui""",Q290322,Q733065
