wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Michael_Par%C3%A9,Felix Stone,Q672357,Q699028
/wiki/Lisa_Eichhorn,Terry Morgan,Q458188,Q699028
/wiki/Dean_Devlin,Tyler,Q119849,Q699028
/wiki/Brian_Thompson,Jake O’Neal,Q82330,Q699028
/wiki/Leon_Rippy,Master Sergeant Sykes,Q453906,Q699028
/wiki/Stephen_Geoffreys,Cookie,Q956761,Q699028
/wiki/Malcolm_McDowell,Major Lee,Q117392,Q699028
/wiki/Jochen_Nickel,Scooter Bailey,Q97604,Q699028
/wiki/Roscoe_Lee_Browne,Chairman Hall.,Q499063,Q699028
