wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Arnold_Schwarzenegger,Douglas Quaid / Carl Hauser: An Earth-based construction worker with a hidden past[1],Q2685,http://www.wikidata.org/entity/Q222018
/wiki/Rachel_Ticotin,Melina: A Martian freedom fighter[2],Q262091,http://www.wikidata.org/entity/Q222018
/wiki/Sharon_Stone,Lori: Quaid's wife and a secret agent[1],Q62975,http://www.wikidata.org/entity/Q222018
/wiki/Ronny_Cox,Vilos Cohaagen: The governor of the Martian colony[3],Q39989,http://www.wikidata.org/entity/Q222018
/wiki/Michael_Ironside,Richter: Cohaagen's ruthless enforcer[3][4],Q344973,http://www.wikidata.org/entity/Q222018
/wiki/Marshall_Bell,George / Kuato (voice): The mutant leader of the Martian resistance[5],Q679987,http://www.wikidata.org/entity/Q222018
"/wiki/Michael_Campbell_(musician_and_actor)"" class=""mw-redirect",Helm: Richter's right-hand man[6],,http://www.wikidata.org/entity/Q222018
/wiki/Mel_Johnson_Jr.,Benny: A Martian taxi driver[7],Q3304853,http://www.wikidata.org/entity/Q222018
/wiki/Roy_Brocksmith,Dr. Edgemar: A Rekall employee[1],Q3445751,http://www.wikidata.org/entity/Q222018
/wiki/Rosemary_Dunsmore,Dr. Renata Lull: A Rekall programmer[8],Q1614266,http://www.wikidata.org/entity/Q222018
