wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Elio_Germano,Accio Benassi,Q1231066,Q734816
/wiki/Riccardo_Scamarcio,Manrico Benassi,Q133787,Q734816
/wiki/Angela_Finocchiaro,Amelia Benassi,Q1237584,Q734816
/wiki/Massimo_Popolizio,Ettore Benassi,Q3851411,Q734816
/wiki/Diane_Fleri,Francesca,Q441915,Q734816
/wiki/Alba_Rohrwacher,Violetta Benassi,Q433601,Q734816
/wiki/Emanuele_Propizio,Young Accio,Q4015362,Q734816
/wiki/Claudio_Botosso,Prof. Montagna,Q3679954,Q734816
/wiki/Ninni_Bruschetta,Segretario Bombacci,Q1993073,Q734816
/wiki/Anna_Bonaiuto,Bella Nastri,Q435763,Q734816
/wiki/Luca_Zingaretti,Mario Nastri,Q1374312,Q734816
