wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Dan_Aykroyd,John W. Burns,Q105221,Q502703
/wiki/Walter_Matthau,Donald Becker,Q202172,Q502703
/wiki/Charles_Grodin,George Maitlin,Q467570,Q502703
/wiki/Donna_Dixon,Laura Rollins,Q452169,Q502703
/wiki/Richard_Romanus,Harvey Michaels,Q139765,Q502703
/wiki/Mary_Gross,Vera Maitlin,Q532192,Q502703
/wiki/David_Clennon,Lawrence Baird,Q118763,Q502703
/wiki/David_Wohl_(actor),Dr. Smet,Q2199939,Q502703
/wiki/Arye_Gross,Perry Kovin,Q717982,Q502703
/wiki/Victoria_Jackson,Robin,Q46080,Q502703
/wiki/Chevy_Chase,"""Condom Father"" (cameo appearance)",Q310926,Q502703
