wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Jacques_Villeret,François Pignon,Q267244,Q655315
/wiki/Thierry_Lhermitte,Pierre Brochant,Q548400,Q655315
/wiki/Francis_Huster,Juste Leblanc,Q975469,Q655315
/wiki/Daniel_Pr%C3%A9vost,Lucien Cheval,Q965873,Q655315
/wiki/Alexandra_Vandernoot,Christine Brochant,Q259169,Q655315
/wiki/Catherine_Frot,Marlène Sasseur,Q451776,Q655315
/wiki/Edgar_Givry,Jean Cordier,Q3047449,Q655315
/wiki/Daniel_Russo,"Pascal Meneaux
",Q2391128,Q655315
/wiki/Bernard_Alane,Pascal Meneaux's voice,Q822232,Q655315
