wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Elvis_Presley,Steve Grayson,Q303,Q605374
/wiki/Nancy_Sinatra,Susan Jacks,Q233937,Q605374
/wiki/Bill_Bixby,Kenny Donford,Q498503,Q605374
/wiki/Gale_Gordon,R. W. Hepworth,Q1351121,Q605374
/wiki/William_Schallert,Abel Esterlake,Q1332676,Q605374
/wiki/Victoria_Paige_Meyerink,Ellie Esterlake,Q11836206,Q605374
/wiki/Carl_Ballantine,Birdie Kebner,Q2097213,Q605374
/wiki/Ross_Hagen,Paul Dado,Q518984,Q605374
/wiki/Charlotte_Stewart,Lori,Q463226,Q605374
/wiki/Sandy_Reed,Speedway Announcer,Q7417432,Q605374
