wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Samuel_L._Jackson,"""Champ""/""Bob Satterfield""/Tommy Kincaid",Q172678,Q155485
/wiki/Josh_Hartnett,Erik Kernan Jr.,Q303957,Q155485
/wiki/Kathryn_Morris,Joyce Kernan,Q232968,Q155485
/wiki/Dakota_Goyo,Teddy Kernan,Q241497,Q155485
/wiki/Alan_Alda,Ralph Metz,Q310394,Q155485
/wiki/Rachel_Nichols_(actress),Polly,Q140181,Q155485
/wiki/David_Paymer,Whitely,Q373989,Q155485
/wiki/Teri_Hatcher,Andrea Flak,Q181490,Q155485
/wiki/Nick_Sandow,Marciano,Q3339792,Q155485
"/wiki/Harry_J._Lennix"" class=""mw-redirect",Bob Satterfield Jr.,,Q155485
