wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Takeshi_Kitano,Machisu,Q26372,Q340300
/wiki/Kanako_Higuchi,Sachiko,Q3067350,Q340300
"/wiki/Yurei_Yanagi"" class=""mw-redirect",Young Machisu,,Q340300
"/wiki/Kumiko_As%C5%8D"" class=""mw-redirect",Young Sachiko,,Q340300
/wiki/Akira_Nakao,Machisu's father,Q3546876,Q340300
/wiki/Ren_Osugi,Machisu's uncle,Q1138332,Q340300
/wiki/Susumu_Terajima,Yakuza pimp,Q738476,Q340300
/wiki/Eri_Tokunaga_(actress),Machisu's daughter,Q8011075,Q340300
"/wiki/Nao_Omori"" class=""mw-redirect",Art dealer,,Q340300
"/wiki/Masato_Ibu"" class=""mw-redirect",Art dealer,,Q340300
