wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Katherine_Heigl,Holly Berenson,Q189554,Q860734
/wiki/Josh_Duhamel,Eric Messer,Q19794,Q860734
/wiki/Josh_Lucas,Sam,Q53651,Q860734
/wiki/Christina_Hendricks,Alison Novak,Q210462,Q860734
/wiki/Hayes_MacArthur,Peter Novak,Q2040329,Q860734
/wiki/DeRay_Davis,Lonnie,Q2002151,Q860734
/wiki/Sarah_Burns,Janine Groff,Q7422150,Q860734
/wiki/Rob_Huebel,Ted,Q7340225,Q860734
/wiki/Bill_Brochtrup,Gary,Q4908273,Q860734
/wiki/Andy_Buckley,George Dunn,Q612512,Q860734
"/wiki/Andrew_Daly"" class=""mw-redirect",Scott,,Q860734
/wiki/Majandra_Delfino,Jenna,Q262659,Q860734
/wiki/Reggie_Lee_(actor),Alan Burke,Q1341761,Q860734
/wiki/Melissa_McCarthy,DeeDee,Q229048,Q860734
/wiki/Will_Sasso,Josh,Q310322,Q860734
/wiki/Jessica_St._Clair,Beth,Q6187500,Q860734
/wiki/Kumail_Nanjiani,Simon,Q6443390,Q860734
