wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Daniel_Olbrychski,Andrzej Kmicic,Q704388,Q960920
/wiki/Ma%C5%82gorzata_Braunek,Oleńka Billewiczówna,Q274277,Q960920
/wiki/Tadeusz_%C5%81omnicki,Michał Wołodyjowski,Q710158,Q960920
/wiki/Kazimierz_Wichniarz,Jan Onufry Zagłoba,Q4409458,Q960920
/wiki/W%C5%82adys%C5%82aw_Ha%C5%84cza,Janusz Radziwiłł,Q3608599,Q960920
/wiki/Leszek_Teleszy%C5%84ski,Bogusław Radziwiłł,Q6532178,Q960920
/wiki/Ryszard_Filipski,Soroka,Q7385391,Q960920
/wiki/Wies%C5%82awa_Mazurkiewicz,Aunt Kulwiecówna,Q4274620,Q960920
/wiki/Franciszek_Pieczka,Kiemlicz,Q1442402,Q960920
/wiki/Bruno_O%27Ya,Józwa Butrym,Q2996111,Q960920
/wiki/Bogusz_Bilewski,Kulwiec-Hippocentaurus,Q4937872,Q960920
/wiki/Andrzej_Kozak,Rekuć Leliwa,Q4759637,Q960920
/wiki/Krzysztof_Kowalewski,Roch Kowalski,Q354070,Q960920
/wiki/Wies%C5%82aw_Go%C5%82as,Stefan Czarniecki,Q4141313,Q960920
/wiki/Piotr_Paw%C5%82owski_(actor),John II Casimir of Poland,Q3388977,Q960920
/wiki/Leon_Niemczyk,Charles X Gustav of Sweden,Q460247,Q960920
/wiki/Arkadiusz_Bazak,Kuklinowski,Q724408,Q960920
