wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/H._B._Warner,Stephen Sorrell,Q1562547,Q1058426
/wiki/Anna_Q._Nilsson,Dora Sorrell,Q434466,Q1058426
/wiki/Mickey_McBan,Kit (as a child),Q6838716,Q1058426
/wiki/Carmel_Myers,Flo Palfrey,Q952875,Q1058426
/wiki/Lionel_Belmore,John Palfrey,Q434901,Q1058426
"/wiki/Norman_Trevor"" class=""mw-redirect",Thomas Roland,,Q1058426
/wiki/Louis_Wolheim,Buck,Q357363,Q1058426
/wiki/Paul_McAllister,Dr. Orange,Q7152294,Q1058426
/wiki/Alice_Joyce,Fanny Garland,Q508858,Q1058426
/wiki/Nils_Asther,Christopher 'Kit' Sorrell,Q722861,Q1058426
"/wiki/Mary_Imogene_Robertson"" class=""mw-redirect",Molly Roland,,Q1058426
