wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Sammo_Hung,Tung Ming-sun,Q311219,Q1003128
/wiki/Yuen_Biao,"""Weasel"" / Chieh Man-yeh",Q319364,Q1003128
/wiki/Haing_S._Ngor,Lung Yeung,Q312364,Q1003128
/wiki/Joyce_Godenzi,Guerrilla Girl Leader,Q6297491,Q1003128
/wiki/Ha_Chi-chun,Lau Shun Ying / Guerrilla Girl #3,Q5636419,Q1003128
/wiki/Lam_Ching-ying,Lieutenant Colonel Lam,Q724165,Q1003128
/wiki/Charlie_Chin,Szeto Chin,Q710179,Q1003128
/wiki/Billy_Lau,Ching Dai-Hoi,Q9299789,Q1003128
/wiki/Yuen_Woo-ping,Grandpa Yun Yen-hoy,Q460297,Q1003128
/wiki/Corey_Yuen,Judy Wu,Q676051,Q1003128
/wiki/Peter_Chan,Ma Puk-kau / Potato Onion Head,Q716064,Q1003128
"/wiki/Chin_Kar-lok"" class=""mw-redirect",Nguyen Siu-tran,,Q1003128
/wiki/Hsiao_Ho_(actor),Phan ManlLung,Q5924212,Q1003128
/wiki/Yuen_Wah,Vietnamese Giggling General,Q533745,Q1003128
/wiki/Yasuaki_Kurata,General's elite soldier,Q999296,Q1003128
/wiki/Dick_Wei,General's elite soldier,Q4817589,Q1003128
/wiki/Billy_Chow,General's elite soldier,Q4912343,Q1003128
/wiki/James_Tien_(actor),Village Thug / Angry Customer,Q1681194,Q1003128
/wiki/Phillip_Ko,Vietnamese Corporal Soldier,Q16875992,Q1003128
/wiki/Wu_Ma,Vietnamese Corporal Officer,Q851018,Q1003128
/wiki/Kenny_Ho,Col Young's commando,Q1185807,Q1003128
/wiki/Max_Mok,Col Young's commando,Q6795030,Q1003128
/wiki/Chung_Fat,Col Young's commando,Q9360490,Q1003128
/wiki/Michael_Miu,Col Young's commando,Q1074429,Q1003128
/wiki/Kent_Tong,Col Young's commando,Q1041593,Q1003128
/wiki/Wan_Chi_Keung,Col Young's commando,Q712446,Q1003128
