wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Martin_Henderson,Cary Ford,Q461278,Q670055
/wiki/Ice_Cube,Trey Wallace,Q173637,Q670055
/wiki/Monet_Mazur,Shane,Q273650,Q670055
/wiki/Adam_Scott_(actor),FBI Agent Jay McPherson,Q201842,Q670055
/wiki/Matt_Schulze,Henry James,Q538716,Q670055
/wiki/Jay_Hernandez,Dalton,Q533655,Q670055
/wiki/Will_Yun_Lee,Val,Q974139,Q670055
/wiki/Jaime_Pressly,'China',Q231197,Q670055
/wiki/Max_Beesley,Luther,Q611816,Q670055
/wiki/Christina_Milian,Nina,Q230501,Q670055
/wiki/Faizon_Love,Sonny,Q155449,Q670055
/wiki/Fredro_Starr,Junior Wallace,Q730261,Q670055
/wiki/Justina_Machado,FBI Agent Tehya Henderson,Q270382,Q670055
