wikipedia_actor,character_name,wikidata_actor,wikidata_film
/wiki/Christian_Bale,Bruce Wayne / Batman,Q45772,Q189330
/wiki/Michael_Caine,Alfred Pennyworth,Q123351,Q189330
/wiki/Gary_Oldman,James Gordon,Q83492,Q189330
/wiki/Anne_Hathaway,Selina Kyle / Catwoman,Q36301,Q189330
/wiki/Tom_Hardy,Bane,Q208026,Q189330
/wiki/Marion_Cotillard,Miranda Tate / Talia al Ghul,Q8927,Q189330
/wiki/Joey_King,Young Talia al Ghul.[,Q112536,Q189330
/wiki/Joseph_Gordon-Levitt,John Blake,Q177311,Q189330
/wiki/Morgan_Freeman,Lucius Fox,Q48337,Q189330
